arm,seed,split_id,candidate_id,reason,validation_score,locked_score_if_computed,why_not_selected
TASE Typed Portfolio Harness Reconstruction,0,4,TASE Typed Portfolio Harness Reconstruction-0-5,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
TASE Typed Portfolio Harness Reconstruction,0,4,TASE Typed Portfolio Harness Reconstruction-0-6,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
TASE Typed Portfolio Harness Reconstruction,0,3,TASE Typed Portfolio Harness Reconstruction-0-9,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
TASE Typed Portfolio Harness Reconstruction,0,4,TASE Typed Portfolio Harness Reconstruction-0-10,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Random Legal Harness Patch,0,4,Random Legal Harness Patch-0-9,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
TASE Typed Portfolio Harness Reconstruction,0,6,TASE Typed Portfolio Harness Reconstruction-0-10,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,5,Same-Budget Safe Configuration Search-0-2,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,5,Same-Budget Safe Configuration Search-0-3,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Random Legal Harness Patch,0,4,Random Legal Harness Patch-0-10,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Random Legal Harness Patch,0,4,Random Legal Harness Patch-0-7,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Random Legal Harness Patch,0,4,Random Legal Harness Patch-0-8,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,5,Same-Budget Safe Configuration Search-0-7,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Random Legal Harness Patch,0,4,Random Legal Harness Patch-0-4,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Random Legal Harness Patch,0,4,Random Legal Harness Patch-0-0,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,4,Same-Budget Safe Configuration Search-0-11,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,4,Same-Budget Safe Configuration Search-0-10,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,4,Same-Budget Safe Configuration Search-0-7,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,4,Same-Budget Safe Configuration Search-0-6,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,4,Same-Budget Safe Configuration Search-0-3,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,4,Same-Budget Safe Configuration Search-0-2,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,0,Same-Budget Safe Configuration Search-0-3,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,5,Same-Budget Safe Configuration Search-0-6,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
TASE Typed Portfolio Harness Reconstruction,0,6,TASE Typed Portfolio Harness Reconstruction-0-9,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Random Legal Harness Patch,0,6,Random Legal Harness Patch-0-4,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
TASE Typed Portfolio Harness Reconstruction,0,5,TASE Typed Portfolio Harness Reconstruction-0-10,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Random Legal Harness Patch,0,6,Random Legal Harness Patch-0-7,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Random Legal Harness Patch,0,6,Random Legal Harness Patch-0-8,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Random Legal Harness Patch,0,6,Random Legal Harness Patch-0-0,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,6,Same-Budget Safe Configuration Search-0-11,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,6,Same-Budget Safe Configuration Search-0-10,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,6,Same-Budget Safe Configuration Search-0-7,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,6,Same-Budget Safe Configuration Search-0-6,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,6,Same-Budget Safe Configuration Search-0-3,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Same-Budget Safe Configuration Search,0,6,Same-Budget Safe Configuration Search-0-2,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
Random Legal Harness Patch,0,6,Random Legal Harness Patch-0-9,CLEAN_PANEL_W_STAR_CHANGED,0.0,0.0,FAILED_HARD_GATE
